site,plotID,subplotID,year,shannon_exotic,evenness_exotic,nspp_exotic,shannon_notexotic,evenness_notexotic,nspp_notexotic,shannon_native,evenness_native,nspp_native,shannon_unknown,evenness_unknown,nspp_unknown,rel_cover_native,rel_cover_unknown,rel_cover_exotic,cover_native,cover_unknown,cover_exotic,rel_cover_notexotic,cover_notexotic,shannon_total,evenness_total,nspp_total,shannon_family,evenness_family,nfamilies,scale,invaded,turnover,nestedness,monthyear
BONA,BONA_028,plot,2017,0,0,1,1.6622553879016195,0.06926064116256749,24,1.6622553879016195,0.06926064116256749,24,0,0,0,0.9993215739484397,0,6.784260515603799e-4,61.375,0,0.041666666666666664,0.9993215739484397,61.375,1.666755483149303,0.06667021932597211,25,1.2881958462769103,0.1073496538564092,12,plot,invaded,0.6015037593984962,0.17580716497125165,2017-08
BONA,BONA_028,plot,2018,0,0,0,1.2159270515036895,0.12159270515036895,10,1.2159270515036895,0.12159270515036895,10,0,0,0,1,0,0,52.75,0,0,1,52.75,1.2159270515036895,0.12159270515036895,10,1.0134436964241793,0.1447776709177399,7,plot,not_invaded,0.5,0.22727272727272727,2018-07
BONA,BONA_029,plot,2017,0,0,0,2.091672417306511,0.09507601896847778,22,2.0760432835754745,0.0988592039797845,21,0,0,0,1,0,0,55.104166666666664,0,0,1,55.291666666666664,2.091672417306511,0.09507601896847778,22,1.5381298584390364,0.15381298584390363,10,plot,not_invaded,0.5414364640883977,0.11978802570752058,2017-08
BONA,BONA_029,plot,2018,0,0,0,2.0412447115811703,0.11340248397673168,18,1.9944410122346898,0.11732005954321705,17,0,0,0,1,0,0,46.8125,0,0,1,47.5,2.0412447115811703,0.11340248397673168,18,1.4678345839084812,0.13343950762804374,11,plot,not_invaded,0.6064516129032258,0.1260045274476514,2018-07
BONA,BONA_030,plot,2017,0,0,1,2.0531956938130844,0.0789690651466571,26,2.017796544297552,0.084074856012398,24,0,0,1,0.9886039886039887,0.0011396011396011395,0.010256410256410256,36.145833333333336,0.041666666666666664,0.375,0.9898190045248869,36.458333333333336,2.0891237032796233,0.07737495197331938,27,1.5323705371111056,0.1276975447592588,12,plot,invaded,0.6066350710900474,0.06530168780323324,2017-08
BONA,BONA_030,plot,2018,0,0,0,1.7738053920290915,0.12670038514493512,14,1.7467724555991142,0.13436711196916262,13,0,0,0,1,0,0,39.75,0,0,1,40,1.7738053920290915,0.12670038514493512,14,1.2298024277489061,0.15372530346861327,8,plot,not_invaded,0.5669291338582677,0.13415782266347143,2018-07
CLBJ,CLBJ_001,plot,2017,0,0,1,3.0939769761432836,0.040181519170691994,77,3.068282676626923,0.04261503717537393,72,1.5174643245838402,0.303492864916768,5,0.887373618622149,0.004937691041617682,0.10768869033623324,78.625,0.4375,9.541666666666666,0.8923113096637667,79.0625,3.1024461814599906,0.03977495104435885,78,1.2484350667736628,0.04801673333744857,26,plot,invaded,0.8034398034398035,0.025984503596443893,2017-05
CLBJ,CLBJ_001,plot,2019,0,0,0,2.8073600766939015,0.061029566884650034,46,2.7996994159562725,0.06221554257680605,45,0,0,1,0.9983333333333333,0.0016666666666666668,0,37.4375,0.0625,0,1,37.5,2.8073600766939015,0.061029566884650034,46,1.422130930359944,0.0748489963347339,19,plot,not_invaded,0.8092105263157895,0.02694766577460601,2019-04
CLBJ,CLBJ_001,plot,2018,0.07237778951611745,0.036188894758058726,2,3.355000052204775,0.04533783854330777,74,3.33355238847874,0.04695144209124986,71,0.6365141682948128,0.3182570841474064,2,0.8900830483634588,0.0029311187103077674,0.10698583292623351,37.958333333333336,0.125,4.5625,0.8932228181374939,38.166666666666664,3.3442146487815654,0.04400282432607323,76,1.5982609604858682,0.057080748588781004,28,plot,invaded,0.767616191904048,0.04173190157688683,2018-05
CLBJ,CLBJ_002,plot,2017,0,0,0,2.835806944466186,0.038846670472139536,73,2.7707921005682925,0.041355105978631235,67,1.0353266957705896,0.2588316739426474,4,0.990675121223424,0.009324878776575904,0,55.33333333333333,0.5208333333333333,0,1,56.291666666666664,2.835806944466186,0.038846670472139536,73,2.2517239949668415,0.07505746649889472,30,plot,not_invaded,0.7982261640798226,0.07360482183567034,2017-05
CLBJ,CLBJ_002,plot,2018,0.9949236325717752,0.3316412108572584,3,3.1456398925858986,0.034567471347097783,91,3.05829970075053,0.035561624427331746,86,0.8979457248567798,0.2993152416189266,3,0.976286871023713,0.017351069982648928,0.0063620589936379405,35.166666666666664,0.625,0.22916666666666666,0.9937178754997145,36.25,3.1702418426308268,0.03372597704926412,94,2.53121649429639,0.07670353013019364,33,plot,invaded,0.8084358523725835,0.06613261713259488,2018-05
CLBJ,CLBJ_002,plot,2019,0,0,0,2.7219130008278998,0.05337084315348823,51,2.670361688394275,0.05449717731416888,49,0,0,1,0.9959514170040485,0.004048582995951417,0,30.75,0.125,0,1,31.3125,2.7219130008278998,0.05337084315348823,51,2.291639898094801,0.09963651730846962,23,plot,not_invaded,0.8244274809160306,0.051583300755128486,2019-04
CLBJ,CLBJ_003,plot,2018,0,0,1,2.7307658920524367,0.05354442925593013,51,2.701680141075894,0.056285002939081126,48,0.5623351446188083,0.28116757230940415,2,0.9931129476584022,0.005509641873278237,0.0013774104683195593,45.0625,0.25,0.0625,0.9986244841815681,45.375,2.7374474223303102,0.052643219660198276,52,1.9412411831768714,0.1021705885882564,19,plot,invaded,0.8680089485458613,0.035585822695968765,2018-05
CLBJ,CLBJ_003,plot,2017,0,0,1,3.0804799083264456,0.0433870409623443,71,3.020268267736854,0.045761640420255364,66,0.8947400036447022,0.22368500091117555,4,0.9808849557522124,0.018407079646017697,7.079646017699115e-4,57.729166666666664,1.0833333333333333,0.041666666666666664,0.9992932862190813,58.916666666666664,3.084136481797534,0.042835228913854634,72,2.164064013800036,0.08015051902963097,27,plot,invaded,0.8069620253164557,0.05034791620401214,2017-05
CLBJ,CLBJ_003,plot,2019,0.37677016125643675,0.18838508062821838,2,2.6977144414948033,0.0490493534817237,55,2.6747480194521347,0.05143746191254105,52,0.6931471805599453,0.34657359027997264,2,0.9878197320341048,0.00243605359317905,0.0097442143727162,50.6875,0.125,0.5,0.9902794653705954,50.9375,2.7298669983484842,0.04789240347979797,57,2.1991605389467055,0.0916316891227794,24,plot,invaded,0.8411764705882353,0.033533506209908553,2019-04
CLBJ,CLBJ_031,plot,2017,1.559581156259877,0.3119162312519754,5,3.5293219748668485,0.03329549032893253,106,3.4205587597062097,0.035263492368105255,97,1.5119617143742579,0.18899521429678223,8,0.946513470681458,0.0471473851030111,0.006339144215530903,49.770833333333336,2.479166666666667,0.3333333333333333,0.9936758893280632,52.375,3.555190599680457,0.03202874414126538,111,1.790911062479322,0.0596970354159774,30,plot,invaded,0.7927170868347339,0.0642877440831405,2017-05
CLBJ,CLBJ_031,plot,2018,0.8675632284814612,0.2891877428271537,3,3.2302177726930115,0.04195088016484431,77,3.185674296325268,0.04363937392226395,73,0.9551311954514641,0.318377065150488,3,0.9839378238341968,0.009844559585492227,0.0062176165803108805,39.5625,0.3958333333333333,0.25,0.993801652892562,40.083333333333336,3.2532614450718125,0.04066576806339765,80,1.4120213014506848,0.05648085205802739,25,plot,invaded,0.7553191489361702,0.06214116852414725,2018-05
CLBJ,CLBJ_031,plot,2019,0.46341355882642993,0.15447118627547665,3,2.616936173505059,0.05947582212511498,44,2.616936173505059,0.05947582212511498,44,0,0,0,0.9713774597495528,0,0.028622540250447227,33.9375,0,1,0.9713774597495528,33.9375,2.6852177716783667,0.05713229301443334,47,1.1776821109052111,0.06542678393917839,18,plot,invaded,0.8313253012048193,0.013550045055568533,2019-04
CLBJ,CLBJ_032,plot,2017,0.26918120423513653,0.033647650529392066,8,3.433012626991869,0.041361597915564687,83,3.2583637566369306,0.046548053666241866,70,1.5580577100522692,0.14164161000475176,11,0.5933812949640288,0.05496402877697842,0.3516546762589928,42.958333333333336,3.9791666666666665,25.458333333333332,0.6507573592454987,47.4375,2.975044328908627,0.03269279482317172,91,1.397955902714853,0.04992699652553046,28,plot,invaded,0.8307692307692308,0.0358974358974359,2017-05
CLBJ,CLBJ_032,plot,2018,0.049328767318989455,0.024664383659494728,2,3.0714208376643213,0.0503511612731856,61,3.026587493158191,0.053098026195757736,57,0.8305178252872478,0.2768392750957493,3,0.631905007743934,0.006711409395973154,0.361383582860093,25.5,0.2708333333333333,14.583333333333334,0.6391752577319588,25.833333333333332,2.634866491559335,0.04182327764379897,63,1.3780134582428476,0.07252702411804461,19,plot,invaded,0.7942973523421588,0.04639665396698941,2018-05
CLBJ,CLBJ_032,plot,2019,0.09908910135203658,0.04954455067601829,2,2.434006290768994,0.060850157269224846,40,2.4068965458155,0.061715296046551286,39,0,0,0,0.6290726817042607,0,0.37092731829573933,31.375,0,18.5,0.6309226932668329,31.625,2.23070412406344,0.053112002953891436,42,1.134820394798108,0.07092627467488175,16,plot,invaded,0.8067796610169492,0.01729441305712492,2019-04
CLBJ,CLBJ_033,plot,2019,0,0,0,2.252127253529793,0.060868304149453864,37,2.2192862069353496,0.06340817734101,35,0.5623351446188083,0.28116757230940415,2,0.9921568627450981,0.00784313725490196,0,31.625,0.25,0,1,31.875,2.252127253529793,0.060868304149453864,37,1.8782316859812405,0.09885429926217056,19,plot,not_invaded,0.7976878612716763,0.06821252187008615,2019-04
