Accepted Symbol,Synonym Symbol,Scientific Name,Common Name,growth_habit,genus_name,species_name,smp_name
ACIO,NA,Acmella iodiscaea (A.H. Moore) R.K. Jansen,maluco,Forb/herb,Acmella,iodiscaea,Acmella_iodiscaea
ACIO,SPIO,Spilanthes iodiscaea A.H. Moore,NA,Forb/herb,Spilanthes,iodiscaea,Spilanthes_iodiscaea
ACOP,NA,Acmella oppositifolia (Lam.) R.K. Jansen,oppositeleaf spotflower,Forb/herb,Acmella,oppositifolia,Acmella_oppositifolia
ACOPR,NA,Acmella oppositifolia (Lam.) R.K. Jansen var. repens (Walter) R.K. Jansen,oppositeleaf spotflower,Forb/herb,Acmella,oppositifolia,Acmella_oppositifolia
ACOPR,ACRE6,Acmella repens (Walter) Rich.,NA,Forb/herb,Acmella,repens,Acmella_repens
ACOPR,SPAMR3,Spilanthes americana (Mutis ex L. f.) Hieron. var. repens (Walter) A.H. Moore,NA,Forb/herb,Spilanthes,americana,Spilanthes_americana
ACOPR,SPAM3,Spilanthes americana auct. non Hieron. p.p.,NA,Forb/herb,Spilanthes,americana,Spilanthes_americana
ACPI4,NA,Acmella pilosa R.K. Jansen,hairy spotflower,Forb/herb,Acmella,pilosa,Acmella_pilosa
ACPU,SPPU5,Spilanthes pusilla Hook. & Arn.,NA,Forb/herb,Spilanthes,pusilla,Spilanthes_pusilla
ACPU,NA,Acmella pusilla (Hook. & Arn.) R.K. Jansen,dwarf spotflower,Forb/herb,Acmella,pusilla,Acmella_pusilla
ACBI4,NA,Aconitum ×bicolor Schult. (pro sp.) [napellus × variegatum],twocolor monkshood,Forb/herb,Aconitum,×bicolor,Aconitum_×bicolor
ACCO4,NA,Aconitum columbianum Nutt.,Columbian monkshood,Forb/herb,Aconitum,columbianum,Aconitum_columbianum
ACCOC3,NA,Aconitum columbianum Nutt. ssp. columbianum,Columbian monkshood,Forb/herb,Aconitum,columbianum,Aconitum_columbianum
ACCOC3,ACCOB,Aconitum columbianum Nutt. var. bakeri (Greene) Harrington,NA,Forb/herb,Aconitum,columbianum,Aconitum_columbianum
ACCOC3,ACLE6,Aconitum leibergii Greene,NA,Forb/herb,Aconitum,leibergii,Aconitum_leibergii
ACCOC3,ACCOO,Aconitum columbianum Nutt. var. ochroleucum A. Nelson,NA,Forb/herb,Aconitum,columbianum,Aconitum_columbianum
ACCOC3,ACGE3,Aconitum geranioides Greene,NA,Forb/herb,Aconitum,geranioides,Aconitum_geranioides
ACCOC3,ACCOP,Aconitum columbianum Nutt. ssp. pallidum Piper,NA,Forb/herb,Aconitum,columbianum,Aconitum_columbianum
ACCOC3,ACMO3,Aconitum mogollonicum Greene,NA,Forb/herb,Aconitum,mogollonicum,Aconitum_mogollonicum
ACCOV2,ACVI5,Aconitum viviparum Greene,NA,Forb/herb,Aconitum,viviparum,Aconitum_viviparum
ACCOV2,ACBU,Aconitum bulbiferum Howell,NA,Forb/herb,Aconitum,bulbiferum,Aconitum_bulbiferum
ACCOV2,ACCOH,Aconitum columbianum Nutt. var. howellii (A. Nelson & J.F. Macbr.) C.L. Hitchc.,NA,Forb/herb,Aconitum,columbianum,Aconitum_columbianum
ACCOV2,NA,Aconitum columbianum Nutt. ssp. viviparum (Greene) D.E. Brink,Columbian monkshood,Forb/herb,Aconitum,columbianum,Aconitum_columbianum
ACCOV2,ACHO,Aconitum howellii A. Nelson & J.F. Macbr.,NA,Forb/herb,Aconitum,howellii,Aconitum_howellii
ACCOV2,ACHA2,Aconitum hansenii Greene,NA,Forb/herb,Aconitum,hansenii,Aconitum_hansenii
ACDE2,NA,Aconitum delphiniifolium DC.,larkspurleaf monkshood,Forb/herb,Aconitum,delphiniifolium,Aconitum_delphiniifolium
ACDEC,NA,Aconitum delphiniifolium DC. ssp. chamissonianum (Rchb.) Hultén,larkspurleaf monkshood,Forb/herb,Aconitum,delphiniifolium,Aconitum_delphiniifolium
ACDED3,ACDEA,Aconitum delphiniifolium DC. var. albiflorum A.E. Porsild,NA,Forb/herb,Aconitum,delphiniifolium,Aconitum_delphiniifolium
ACDED3,NA,Aconitum delphiniifolium DC. ssp. delphiniifolium,larkspurleaf monkshood,Forb/herb,Aconitum,delphiniifolium,Aconitum_delphiniifolium
ACDEP,NA,Aconitum delphiniifolium DC. ssp. paradoxum (Rchb.) Hultén,larkspurleaf monkshood,Forb/herb,Aconitum,delphiniifolium,Aconitum_delphiniifolium
ACDEP,ACNI3,Aconitum nivatum A. Nelson,NA,Forb/herb,Aconitum,nivatum,Aconitum_nivatum
ACIN2,NA,Aconitum infectum Greene,Arizona monkshood,Forb/herb,Aconitum,infectum,Aconitum_infectum
ACLY,NA,Aconitum lycoctonum L.,monkshood,Forb/herb,Aconitum,lycoctonum,Aconitum_lycoctonum
ACLY,ACSE3,Aconitum septentrionale Koelle,NA,Forb/herb,Aconitum,septentrionale,Aconitum_septentrionale
ACMA4,NA,Aconitum maximum Pall. ex DC.,Kamchatka aconite,Forb/herb,Aconitum,maximum,Aconitum_maximum
ACNA,NA,Aconitum napellus L.,Venus' chariot,Forb/herb,Aconitum,napellus,Aconitum_napellus
ACNO2,ACNOQ,Aconitum noveboracense A. Gray ex Coville var. quasiciliatum Fassett,NA,Forb/herb,Aconitum,noveboracense,Aconitum_noveboracense
